ORDER_YEAR,ORDER_MONTH,SALES,PERIOD
2003,1,129753.6,2003-01
2003,2,140836.19,2003-02
2003,3,174504.9,2003-03
2003,4,201609.55,2003-04
2003,5,192673.11,2003-05
2003,6,168082.56,2003-06
2003,7,187731.88,2003-07
2003,8,197809.3,2003-08
2003,9,263973.36,2003-09
2003,10,568290.97,2003-10
2003,11,1029837.66,2003-11
2003,12,261876.46,2003-12
2004,1,316577.42,2004-01
2004,2,311419.53,2004-02
2004,3,205733.73,2004-03
2004,4,206148.12,2004-04
2004,5,273438.39,2004-05
2004,6,286674.22,2004-06
2004,7,327144.09,2004-07
2004,8,461501.27,2004-08
2004,9,320750.91,2004-09
2004,10,552924.25,2004-10
2004,11,1089048.01,2004-11
2004,12,372802.66,2004-12
2005,1,339543.42,2005-01
2005,2,358186.18,2005-02
2005,3,374262.76,2005-03
2005,4,261633.29,2005-04
2005,5,457861.06,2005-05
