PRODUCTCODE,SALES
S18_3232,288245.42
S10_1949,191073.03
S10_4698,170401.07
S12_1108,168585.32
S18_2238,154623.95
S12_3891,145332.04
S24_3856,140626.9
S12_2823,140006.16
S18_1662,139421.97
S12_1099,137177.01
S12_1666,136692.72
S18_4027,133779.35
S18_1129,129757.49
S18_3685,128318.05
S10_4962,127548.16
S18_1749,127310.42
S12_3148,125449.75
S24_2300,125273.43
S18_2795,125199.3
S18_4600,123723.08
S18_1984,120538.81999999999
S18_3482,120467.29000000001
S18_4721,120467.1
S18_2319,116159.3
S12_4473,115881.94
S24_2011,114032.13
S10_4757,113093.73
S18_2870,110501.8
S50_1392,108779.13
S18_2325,108715.7
S18_1589,106851.15
S18_3140,106372.37
S18_1097,106086.56
S10_2016,106017.46
S18_3856,105998.45
S18_1342,103672.27
S700_2824,102132.92
S700_2834,102110.19
S12_4675,101072.17
S24_4048,99789.07
S18_2949,99607.97
S18_3320,99535.46
S24_1578,99240.03
S10_1678,97107.0
S12_3380,96683.75
S24_4258,94279.04
S700_2466,94242.97
S32_1268,90826.41
S18_3259,90457.04
S32_1374,89321.84
S24_3151,89276.56999999999
S700_3505,88565.41
S18_3136,88195.04
S32_4485,86044.44
S24_2887,85554.22
S24_3432,85026.92
S700_1691,83953.5
S50_4713,82633.89
S18_4522,81787.98
S700_3962,80482.72
S700_2047,80477.75
S700_3167,79302.29
S700_1938,78828.91
S24_2766,77585.61
S18_1889,77349.12
S32_3522,77278.62
S24_1785,76854.29
S700_4002,76175.63
S24_2000,75662.93
S700_2610,74111.76
S24_4620,73649.66
S24_4278,73294.17
S24_3949,73264.11
S18_3029,72512.18
S18_4409,71853.78
S50_1514,71495.78
S18_4668,71323.52
S24_3816,70170.62
S18_3278,67116.75
S18_2432,65109.15
S700_1138,64362.17
S32_3207,64290.65
S18_2581,64194.29
S12_3990,63293.08
S24_3191,62237.32
S32_2509,61979.5
S32_4289,61302.82
S24_2360,61069.23
S72_3212,61064.1
S24_3420,60805.659999999996
S24_1444,60731.06
S24_2841,60528.34
S18_3782,59538.5
S18_2625,57992.36
S18_2957,57489.33
S24_3371,56594.87
S18_4933,54959.5
S24_1046,52975.37
S18_2248,52161.65
S18_1367,52045.03
S72_1253,51661.82
S50_1341,50217.95
S24_1937,47981.09
S24_2840,47235.48
S24_1628,46676.51
S24_2972,46515.92
S24_2022,44667.16
S32_2206,41353.43
S24_3969,33181.659999999996
